STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ASN00040223,"BRISBANE AERO, AS",1950-01,6.79,76.8,84.4,69.2
ASN00040223,"BRISBANE AERO, AS",1950-02,16.89,75.2,81.3,69
ASN00040223,"BRISBANE AERO, AS",1950-03,6.42,74.9,81.4,68.5
ASN00040223,"BRISBANE AERO, AS",1950-04,3.04,70.2,77.3,63.2
ASN00040223,"BRISBANE AERO, AS",1950-05,1.23,64.8,74.1,55.5
ASN00040223,"BRISBANE AERO, AS",1950-06,6.96,61.1,68.8,53.4
ASN00040223,"BRISBANE AERO, AS",1950-07,9.65,62.3,69.1,55.5
ASN00040223,"BRISBANE AERO, AS",1950-08,1.15,60.4,69.7,51
ASN00040223,"BRISBANE AERO, AS",1950-09,0.34,64.3,74.1,54.5
ASN00040223,"BRISBANE AERO, AS",1950-10,4.58,68.3,76.5,60.2
ASN00040223,"BRISBANE AERO, AS",1950-11,5.15,69.8,77.7,61.8
ASN00040223,"BRISBANE AERO, AS",1950-12,2.8,73.7,81,66.4
ASN00040223,"BRISBANE AERO, AS",1951-01,18.97,72.9,79.4,66.5
ASN00040223,"BRISBANE AERO, AS",1951-02,2.94,73.5,80,67
ASN00040223,"BRISBANE AERO, AS",1951-03,7.72,74.2,81.8,66.7
ASN00040223,"BRISBANE AERO, AS",1951-04,1.43,67.9,78.6,57.3
ASN00040223,"BRISBANE AERO, AS",1951-05,1.65,62.5,72.2,52.8
ASN00040223,"BRISBANE AERO, AS",1951-06,1.78,61.6,69.7,53.5
ASN00040223,"BRISBANE AERO, AS",1951-07,0.02,57.5,68.7,46.3
ASN00040223,"BRISBANE AERO, AS",1951-08,0.43,58.4,70,46.8
ASN00040223,"BRISBANE AERO, AS",1951-09,0.72,63.7,73.9,53.5
ASN00040223,"BRISBANE AERO, AS",1951-10,1.52,67.6,77.4,57.7
ASN00040223,"BRISBANE AERO, AS",1951-11,0.05,72.6,81.8,63.3
ASN00040223,"BRISBANE AERO, AS",1951-12,1.82,75.3,84.3,66.2
