STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00023062,"DENVER STAPLETON, CO US",1950-01,0.47,8.9,29.4,45,13.7
USW00023062,"DENVER STAPLETON, CO US",1950-02,0.2,3,38.6,52.6,24.6
USW00023062,"DENVER STAPLETON, CO US",1950-03,0.31,5.4,38.1,52.4,23.8
USW00023062,"DENVER STAPLETON, CO US",1950-04,2.98,9,47.6,62,33.3
USW00023062,"DENVER STAPLETON, CO US",1950-05,2.8,13.7,53,65.6,40.3
USW00023062,"DENVER STAPLETON, CO US",1950-06,3.32,0,66.6,81.1,52.1
USW00023062,"DENVER STAPLETON, CO US",1950-07,0.57,0,68.9,81.8,55.9
USW00023062,"DENVER STAPLETON, CO US",1950-08,0.27,0,68.9,83,54.8
USW00023062,"DENVER STAPLETON, CO US",1950-09,1.59,0,60.5,73,48
USW00023062,"DENVER STAPLETON, CO US",1950-10,0.12,0,59.9,76.7,43.1
USW00023062,"DENVER STAPLETON, CO US",1950-11,1,11.9,39.1,53.2,25
USW00023062,"DENVER STAPLETON, CO US",1950-12,0.32,5.9,36.3,50.5,22.1
USW00023062,"DENVER STAPLETON, CO US",1951-01,0.83,15.7,26.8,39.1,14.6
USW00023062,"DENVER STAPLETON, CO US",1951-02,0.78,10.5,33.9,47.2,20.6
USW00023062,"DENVER STAPLETON, CO US",1951-03,1.48,17.6,35.8,49.5,22.1
USW00023062,"DENVER STAPLETON, CO US",1951-04,2.02,12.9,43.8,55.8,31.8
USW00023062,"DENVER STAPLETON, CO US",1951-05,1.78,0,57.2,70.1,44.3
USW00023062,"DENVER STAPLETON, CO US",1951-06,2.28,0.3,60.9,73.5,48.3
USW00023062,"DENVER STAPLETON, CO US",1951-07,0.83,0,73.4,87.9,59
USW00023062,"DENVER STAPLETON, CO US",1951-08,4.47,0,70.6,83.9,57.3
USW00023062,"DENVER STAPLETON, CO US",1951-09,0.97,4.2,61.4,76.5,46.4
USW00023062,"DENVER STAPLETON, CO US",1951-10,2.16,8.1,48.2,61.2,35.2
USW00023062,"DENVER STAPLETON, CO US",1951-11,1.17,14.4,38.1,51.7,24.5
USW00023062,"DENVER STAPLETON, CO US",1951-12,0.69,11.2,29,41.1,16.8
USW00023062,"DENVER STAPLETON, CO US",1952-01,0.01,0.3,34.9,48.4,21.3
USW00023062,"DENVER STAPLETON, CO US",1952-02,0.68,10.2,34.9,48.4,21.5
USW00023062,"DENVER STAPLETON, CO US",1952-03,2.13,25.3,33.7,46.1,21.4
USW00023062,"DENVER STAPLETON, CO US",1952-04,2.75,11.2,48.2,61.3,35.1
USW00023062,"DENVER STAPLETON, CO US",1952-05,3.07,0,56.7,69.1,44.4
USW00023062,"DENVER STAPLETON, CO US",1952-06,0.13,0,72,87.3,56.7
USW00023062,"DENVER STAPLETON, CO US",1952-07,1.06,0,73.1,87.6,58.6
USW00023062,"DENVER STAPLETON, CO US",1952-08,1.41,0,72.2,86.2,58.2
USW00023062,"DENVER STAPLETON, CO US",1952-09,0.54,0,65.6,80.7,50.4
USW00023062,"DENVER STAPLETON, CO US",1952-10,0.18,1.2,53.3,69.3,37.3
USW00023062,"DENVER STAPLETON, CO US",1952-11,1.31,14.6,32.3,44.9,19.8
USW00023062,"DENVER STAPLETON, CO US",1952-12,0.19,3.1,32.5,44.5,20.6
USW00023062,"DENVER STAPLETON, CO US",1953-01,0.39,7.4,39.6,52.9,26.3
USW00023062,"DENVER STAPLETON, CO US",1953-02,1.39,16.5,32.7,45.8,19.6
USW00023062,"DENVER STAPLETON, CO US",1953-03,1.15,11.8,43.6,57.7,29.4
USW00023062,"DENVER STAPLETON, CO US",1953-04,1.3,12,42.8,54.8,30.7
USW00023062,"DENVER STAPLETON, CO US",1953-05,2.67,1.7,53.5,65.8,41.1
USW00023062,"DENVER STAPLETON, CO US",1953-06,1.46,0.5,69.7,84.2,55.1
USW00023062,"DENVER STAPLETON, CO US",1953-07,1.98,0,74,87.1,60.9
USW00023062,"DENVER STAPLETON, CO US",1953-08,1.26,0,71.2,84.6,57.8
USW00023062,"DENVER STAPLETON, CO US",1953-09,0.2,0,66,81.5,50.5
USW00023062,"DENVER STAPLETON, CO US",1953-10,0.44,0.1,54.4,68,40.7
USW00023062,"DENVER STAPLETON, CO US",1953-11,1,7.2,43.1,56.1,30.1
USW00023062,"DENVER STAPLETON, CO US",1953-12,1.02,14.4,31.4,44.2,18.6
USW00023062,"DENVER STAPLETON, CO US",1954-01,0.23,2.7,36.3,50.2,22.3
USW00023062,"DENVER STAPLETON, CO US",1954-02,0.04,0.6,43.7,59.6,27.8
USW00023062,"DENVER STAPLETON, CO US",1954-03,0.5,6.3,35.3,48.8,21.8
USW00023062,"DENVER STAPLETON, CO US",1954-04,0.89,7.6,53.5,68.7,38.4
USW00023062,"DENVER STAPLETON, CO US",1954-05,0.6,2.6,57.2,70.1,44.2
USW00023062,"DENVER STAPLETON, CO US",1954-06,0.66,0,69.3,85.2,53.4
USW00023062,"DENVER STAPLETON, CO US",1954-07,1.99,0,76.7,90.7,62.8
USW00023062,"DENVER STAPLETON, CO US",1954-08,0.51,0,72.7,86.9,58.5
USW00023062,"DENVER STAPLETON, CO US",1954-09,0.77,0,65.7,79.6,51.8
USW00023062,"DENVER STAPLETON, CO US",1954-10,0.06,0.4,52.5,67.3,37.7
USW00023062,"DENVER STAPLETON, CO US",1954-11,0.57,3.9,44.3,58.4,30.2
